Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,7,0,32.58,2,5,7
mnist,RF,7,17,29.22,0,0,error
mnist,RF,7,26,10.0,0,1,1
mnist,RF,7,34,29.23,0,0,error
mnist,RF,7,36,16.84,0,9,9
mnist,RF,7,41,16.66,5,7,7
mnist,RF,7,60,29.45,0,0,error
mnist,RF,7,64,11.61,5,3,3
mnist,RF,7,70,19.35,5,2,4
mnist,RF,7,75,29.05,4,8,9
mnist,RF,7,79,29.26,0,0,error
mnist,RF,7,80,22.43,0,0,0
mnist,RF,7,83,26.45,1,9,9
mnist,RF,7,86,36.94,5,3,5
mnist,RF,7,97,27.86,0,0,error
mnist,RF,7,111,28.99,0,0,error
mnist,RF,7,114,28.11,5,4,4
mnist,RF,7,122,29.27,0,0,error
mnist,RF,7,124,12.91,5,3,3
mnist,RF,7,133,20.05,2,3,3
mnist,RF,7,141,8.9,0,1,1
mnist,RF,7,144,29.08,5,4,5
mnist,RF,7,171,123.35,0,3,3
mnist,RF,7,175,25.95,0,0,error
mnist,RF,7,220,28.4,0,9,9
mnist,RF,7,223,12.59,3,3,3
mnist,RF,7,229,16.59,4,7,7
mnist,RF,7,234,29.17,0,0,error
mnist,RF,7,243,29.21,0,0,error
mnist,RF,7,254,18.58,0,9,9
mnist,RF,7,255,15.43,0,5,5
mnist,RF,7,262,10.63,0,1,1
mnist,RF,7,263,23.8,0,4,5
mnist,RF,7,282,29.36,0,0,error
mnist,RF,7,301,67.19,0,5,8
mnist,RF,7,307,21.46,2,7,7
mnist,RF,7,328,32.98,4,6,9
mnist,RF,7,337,16.94,4,5,5
mnist,RF,7,358,25.4,0,5,5
mnist,RF,7,370,10.29,0,5,5
mnist,RF,7,383,9.4,0,1,1
mnist,RF,7,410,100.88,0,5,5
mnist,RF,7,411,18.74,3,8,9
mnist,RF,7,413,29.19,0,0,error
mnist,RF,7,415,12.44,0,7,7
mnist,RF,7,438,17.5,5,7,7
mnist,RF,7,468,29.34,0,0,error
mnist,RF,7,482,29.17,0,0,error
mnist,RF,7,494,26.78,1,2,4
mnist,RF,7,510,11.2,3,3,3
